X,Y,fid,Route ID,Station Nu,Latitude,Longitude,km,Municipali,Year,Direction,Directio_1,AADT,icon_url
-65.9612,18.1161,2931,PR-902,C00090200000,18.1161,-65.9612,"3.15",San Lorenzo,2021,To PR-9902,To PR-181,"785",./0.png
-65.9607,18.2217,2932,PR-931,C00093100000,18.2217,-65.9607,"0.5",San Lorenzo,2021,To PR-181,To PR-203,"2,374",./0.png
-65.9595,18.1855,2933,PR-9916,C00991600000,18.1855,-65.9595,"0.2",San Lorenzo,2021,To End of Road,To PR-183,"243",./0.png
-65.9585,18.1764,2934,PR-916,C00091600000,18.1764,-65.9585,"0.95",San Lorenzo,2021,To PR-183,To PR-919,"10,679",./0.png
-65.9584,18.037,2935,PR-759,C00075900760,18.037,-65.9584,"8.1",Maunabo,2021,To PR-181,To PR-758,"334",./0.png
-65.9576,18.1853,2936,PR-980,C00098000050,18.1853,-65.9576,"0.8",San Lorenzo,2021,To PR-9980,To PR-183,"3,354",./0.png
-65.9567,18.2366,2937,PR-9933,C00993300000,18.2366,-65.9567,"1.6",Gurabo,2021,To PR-933,To PR-181,"241",./0.png
-65.9565,18.148,2938,PR-912,C00091200040,18.148,-65.9565,"0.8",San Lorenzo,2021,To PR-916,To End of Road,"1,873",./0.png
-65.9564,18.3655,2939,PR-66 WB TOLL,DPR66WBTOLL,18.3655,-65.9564,"4.9",Carolina,2022,To PR-853,To PR-66,"1,303",./0.png
-65.9564,18.363,2940,PR-66 EB 5 OFF,DPR66EB5OFF,18.363,-65.9564,"4.7",Carolina,2022,To PR-853,To PR-66,"3,574",./0.png
-65.9563,18.1736,2941,PR-916,C00091600105,18.1736,-65.9563,"1.4",San Lorenzo,2021,To PR-183,To PR-919,"9,106",./0.png
-65.9563,18.3656,2942,PR-66 WB 5 ON,DPR66WB5ON,18.3656,-65.9563,"1.6",Carolina,2022,To PR-66,To PR-853,"3,371",./0.png
-65.9561,18.3632,2943,PR-66 TOLL,DPR66TOLL,18.3632,-65.9561,"1.85",Carolina,2022,To PR-66,To PR-853,"1,160",./0.png
-65.9552,18.2213,2944,PR-181,C00018103560,18.2213,-65.9552,"38.35",San Lorenzo,2021,To PR-929,To PR-931,"6,554",./0.png
-65.9549,18.2464,2945,PR-9030,C00903000000,18.2464,-65.9549,"1",Gurabo,2021,To PR-933,To PR-189,"5,985",./0.png
-65.9548,18.1824,2946,PR-183,C00018301175,18.1824,-65.9548,"11.9",San Lorenzo,2021,To PR-980,To PR-916,"12,177",./0.png
-65.9539,18.1513,2947,PR-912,C00091200000,18.1513,-65.9539,"0.25",San Lorenzo,2021,To PR-916,To PR-9912,"6,804",./0.png
-65.9533,18.0809,2948,PR-182,C00018200780,18.0809,-65.9533,"11.5",Yabucoa,2021,To PR-9918,To PR-920,"1,535",./0.png
-65.9528,18.2412,2949,PR-933,C00093300000,18.2412,-65.9528,"0.6",Gurabo,2021,To PR-9030,To PR-9933,"648",./0.png
-65.9523,18.1632,2950,PR-916,C00091600290,18.1632,-65.9523,"3.05",San Lorenzo,2021,To PR-919,To PR-912,"8,255",./0.png
-65.9507,18.1488,2951,PR-916,C00091600430,18.1488,-65.9507,"4.76",San Lorenzo,2021,To End of Road,To PR-912,"536",./0.png
-65.9504,18.2481,2952,PR-189,A018900101,18.2481,-65.9504,"10.1",Gurabo,2019,To PR-185,To PR-9030,"15,406",./0.png
-65.95,18.3699,2953,PR-853 NB TO PR-859 SB,DPR853NBTOPR859SB,18.3699,-65.95,"0.7",Carolina,2022,To PR-859,To PR-853,"649",./0.png
-65.9493,18.188,2954,PR-9980,C00998000000,18.188,-65.9493,"1.1",San Lorenzo,2021,To End of Road,To PR-980,"3,045",./0.png
-65.9493,18.233,2955,PR-933,C00093300150,18.233,-65.9493,"2",Gurabo,2021,To PR-9919,To PR-9933,"428",./0.png
-65.9482,18.2473,2956,PR-30,P30-GUR,18.2473,-65.9482,"10",Gurabo,2022,To PR-185,To PR-9030,"57,954",./0.png
-65.9423,18.363,2957,PR-66,P66-CAR,18.363,-65.9423,"6.4",Carolina,2022,To PR-185,To PR-853,"42,820",./0.png
-65.9418,18.2046,2958,PR-9929,C00992900000,18.2046,-65.9418,"1.8",Juncos,2021,To PR-929,To PR-928,"506",./0.png
-65.9411,18.2278,2959,PR-929,C00092900000,18.2278,-65.9411,"1.7",Juncos,2021,To PR-9919,To PR-9929,"7,145",./0.png
-65.9387,18.018,2960,PR-758,C00075800660,18.018,-65.9387,"9.9",Maunabo,2021,To PR-759,To PR-7755,"296",./0.png
-65.9381,18.1059,2961,PR-902,C00090200350,18.1059,-65.9381,"6.3",San Lorenzo,2021,To PR-9902,To PR-181,"286",./0.png
-65.9376,18.1982,2962,PR-928,C00092800370,18.1982,-65.9376,"4.1",San Lorenzo,2021,To PR-919,To PR-183,"1,079",./0.png
-65.937,18.2322,2963,PR-933,C00093300310,18.2322,-65.937,"3.6",Juncos,2021,To PR-9919,To PR-9933,"1,156",./0.png
-65.9368,18.2255,2964,PR-929 EB SLIP SB,DPR929EBSLIPSB,18.2255,-65.9368,"1.15",Juncos,2022,To PR-929,To PR-929,"521",./0.png
-65.9367,17.9784,2965,PR-7758,C00775800000,17.9784,-65.9367,"0.45",Patillas,2021,To End of Road,To PR-3,"290",./0.png
-65.9364,18.2254,2966,PR-929 WB TO PR-9919 EB,DPR929WBTOPR9919EB,18.2254,-65.9364,"1.1",Juncos,2022,To PR-9919,To PR-929,"1,056",./0.png
-65.9334,18.211,2967,PR-928,C00092800060,18.211,-65.9334,"2.8",Juncos,2021,To PR-919,To PR-9929,"1,364",./0.png
-65.9329,18.241,2968,PR-189,A018900108,18.241,-65.9329,"12.12",Juncos,2019,To PR-185,To PR-9030,"12,804",./0.png
-65.9327,18.23,2969,PR-933 EB TO PR-9919 WB,DPR933EBTOPR9919WB,18.23,-65.9327,"4.2",Juncos,2022,To PR-9919,To PR-933,"60",./0.png
-65.9326,18.0075,2970,PR-7762,C00776200000,18.0075,-65.9326,"0.45",Maunabo,2021,To PR-759,To End of Road,"1,006",./0.png
-65.9323,18.2306,2971,PR-9919 WB TO PR-933 WB,DPR9919WBTOPR933WB,18.2306,-65.9323,"0.8",Juncos,2022,To PR-933,To PR-9919,"373",./0.png
-65.9322,18.2302,2972,PR-933 WB TO PR-9919 EB,DPR933WBTOPR9919EB,18.2302,-65.9322,"4.2",Juncos,2022,To PR-9919,To PR-933,"721",./0.png
